DATE,vwretd
1994/01/03,-0.003738
1994/01/04,0.002817
1994/01/05,0.002375
1994/01/06,-0.000598
1994/01/07,0.004656
1994/01/10,0.008585
1994/01/11,-0.001424
1994/01/12,0.000366
1994/01/13,-0.001463
1994/01/14,0.004686
1994/01/17,-0.001830
1994/01/18,0.001400
1994/01/19,-0.000383
1994/01/20,0.001709
1994/01/21,-0.000625
1994/01/24,-0.004407
1994/01/25,-0.002541
1994/01/26,0.004019
1994/01/27,0.007318
1994/01/28,0.004216
1994/01/31,0.006030
1994/02/01,-0.002319
1994/02/02,0.004276
1994/02/03,-0.002053
1994/02/04,-0.022832
1994/02/07,0.003101
1994/02/08,0.000813
1994/02/09,0.004321
1994/02/10,-0.006432
1994/02/11,0.000111
1994/02/14,0.000970
1994/02/15,0.004594
1994/02/16,0.000802
1994/02/17,-0.004293
1994/02/18,-0.004819
1994/02/22,0.005963
1994/02/23,-0.001440
1994/02/24,-0.012428
1994/02/25,0.003666
1994/02/28,0.004301
1994/03/01,-0.005285
1994/03/02,-0.001408
1994/03/03,-0.002020
1994/03/04,0.004599
1994/03/07,0.005603
1994/03/08,-0.002198
1994/03/09,0.001747
1994/03/10,-0.005796
1994/03/11,0.004105
1994/03/14,0.002915
1994/03/15,0.000431
1994/03/16,0.005495
1994/03/17,0.003110
1994/03/18,0.000596
1994/03/21,-0.005101
1994/03/22,0.000759
1994/03/23,0.000634
1994/03/24,-0.009548
1994/03/25,-0.005956
1994/03/28,-0.004821
1994/03/29,-0.017818
1994/03/30,-0.015226
1994/03/31,-0.001436
1994/04/04,-0.016178
1994/04/05,0.023775
1994/04/06,0.000570
1994/04/07,0.006128
1994/04/08,-0.007574
1994/04/11,0.003099
1994/04/12,-0.004961
1994/04/13,-0.005804
1994/04/14,0.000383
1994/04/15,0.000368
1994/04/18,-0.008180
1994/04/19,-0.002914
1994/04/20,-0.003963
1994/04/21,0.014565
1994/04/22,0.000040
1994/04/25,0.010260
1994/04/26,0.001006
1994/04/28,-0.005135
1994/04/29,0.004601
1994/05/02,0.005435
1994/05/03,-0.000019
1994/05/04,-0.001384
1994/05/05,-0.000921
1994/05/06,-0.008423
1994/05/09,-0.012205
1994/05/10,0.005813
1994/05/11,-0.009966
1994/05/12,0.003661
1994/05/13,0.000398
1994/05/16,-0.001098
1994/05/17,0.008056
1994/05/18,0.011022
1994/05/19,0.006050
1994/05/20,-0.001934
1994/05/23,-0.002847
1994/05/24,0.003675
1994/05/25,0.002551
1994/05/26,0.002455
1994/05/27,0.001083
1994/05/31,-0.001110
1994/06/01,0.002468
1994/06/02,0.001566
1994/06/03,0.004816
1994/06/06,0.000032
1994/06/07,-0.002335
1994/06/08,-0.004228
1994/06/09,0.000325
1994/06/10,0.002676
1994/06/13,0.000597
1994/06/14,0.005370
1994/06/15,-0.002869
1994/06/16,0.001944
1994/06/17,-0.006465
1994/06/20,-0.009129
1994/06/21,-0.009209
1994/06/22,0.003564
1994/06/23,-0.008466
1994/06/24,-0.013796
1994/06/27,0.008517
1994/06/28,-0.002430
1994/06/29,0.003717
1994/06/30,-0.004662
1994/07/01,0.004421
1994/07/05,-0.000142
1994/07/06,-0.000266
1994/07/07,0.004908
1994/07/08,0.001885
1994/07/11,-0.002493
1994/07/12,0.001046
1994/07/13,0.003775
1994/07/14,0.009595
1994/07/15,0.001205
1994/07/18,0.001978
1994/07/19,-0.002279
1994/07/20,-0.005033
1994/07/21,0.001606
1994/07/22,0.000607
1994/07/25,0.001687
1994/07/26,-0.001486
